///////////////////////////////////////////////////////////////////////////////////
///                                                                             ///
///                                                                             ///
///              QQQ       UUU  UUU    KKK   KK    EEEEEEE    TTTTTTT           ///
///             Q   Q       u    U      K   K       E    E    T  T  T           ///
///            Q     Q      U    U      K  K        E  E         T              ///
///            Q     Q      U    U      KKK         EEEE         T              ///
///            Q QQQ Q      U    U      K  K        E  E         T              ///
///             Q   Q       U    U      K   K       E    E       T              ///
///              QQQ QQ      UUUU      KKK   KK    EEEEEEE      TTT             ///
///                                                                             ///
///                      Quantum Computing Simulator Ver 0.4 dev                ///
///                                                                             ///
///        Copyright 2019-2021                                                  ///
///        QC Project Team, Ten-no Research Group                               ///
///        All rights Reserved.                                                 ///
///                                                                             ///
///////////////////////////////////////////////////////////////////////////////////
Start at 2021-02-27 17:33:06.037640
+-------------+
|  Job #   1  |
+-------------+
8 processes  x  2 threads  =  Total 16 cores
Performing QITE for heisenberg Hamiltonian
Initial configuration: |0101>
Convergence criteria:  ftol = 1E-09 
Exact QITE: Pauli operator group size = 256
  0.95:  E  = -7.996998711913  CPU Time =  0.16
  0.96:  E  = -7.997229302129  CPU Time =  0.16
  0.97:  E  = -7.997442187329  CPU Time =  0.16
  0.98:  E  = -7.997638725255  CPU Time =  0.16
  0.99:  E  = -7.997820169773  CPU Time =  0.16
  1.00:  E  = -7.997987678787  CPU Time =  0.16
  1.01:  E  = -7.998142321552  CPU Time =  0.16
  1.02:  E  = -7.998285085432  CPU Time =  0.16
  1.03:  E  = -7.998416882151  CPU Time =  0.16
  1.04:  E  = -7.998538553567  CPU Time =  0.17
  1.05:  E  = -7.998650877012  CPU Time =  0.15
  1.06:  E  = -7.998754570221  CPU Time =  0.16
  1.07:  E  = -7.998850295891  CPU Time =  0.16
  1.08:  E  = -7.998938665888  CPU Time =  0.16
  1.09:  E  = -7.999020245145  CPU Time =  0.16
  1.10:  E  = -7.999095555244  CPU Time =  0.16
  1.11:  E  = -7.999165077745  CPU Time =  0.16
  1.12:  E  = -7.999229257249  CPU Time =  0.16
  1.13:  E  = -7.999288504226  CPU Time =  0.16
  1.14:  E  = -7.999343197637  CPU Time =  0.16
  1.15:  E  = -7.999393687347  CPU Time =  0.16
  1.16:  E  = -7.999440296355  CPU Time =  0.16
  1.17:  E  = -7.999483322857  CPU Time =  0.16
  1.18:  E  = -7.999523042146  CPU Time =  0.16
  1.19:  E  = -7.999559708371  CPU Time =  0.17
  1.20:  E  = -7.999593556160  CPU Time =  0.15
  1.21:  E  = -7.999624802116  CPU Time =  0.16
  1.22:  E  = -7.999653646202  CPU Time =  0.16
  1.23:  E  = -7.999680273018  CPU Time =  0.16
  1.24:  E  = -7.999704852982  CPU Time =  0.16
  1.25:  E  = -7.999727543418  CPU Time =  0.16
  1.26:  E  = -7.999748489558  CPU Time =  0.16
  1.27:  E  = -7.999767825477  CPU Time =  0.16
  1.28:  E  = -7.999785674946  CPU Time =  0.16
  1.29:  E  = -7.999802152224  CPU Time =  0.16
  1.30:  E  = -7.999817362789  CPU Time =  0.16
  1.31:  E  = -7.999831404013  CPU Time =  0.16
  1.32:  E  = -7.999844365784  CPU Time =  0.16
  1.33:  E  = -7.999856331081  CPU Time =  0.16
  1.34:  E  = -7.999867376506  CPU Time =  0.17
  1.35:  E  = -7.999877572773  CPU Time =  0.16
  1.36:  E  = -7.999886985159  CPU Time =  0.16
  1.37:  E  = -7.999895673927  CPU Time =  0.16
  1.38:  E  = -7.999903694703  CPU Time =  0.16
  1.39:  E  = -7.999911098842  CPU Time =  0.16
  1.40:  E  = -7.999917933747  CPU Time =  0.16
  1.41:  E  = -7.999924243181  CPU Time =  0.16
  1.42:  E  = -7.999930067540  CPU Time =  0.16
  1.43:  E  = -7.999935444116  CPU Time =  0.16
  1.44:  E  = -7.999940407335  CPU Time =  0.16
  1.45:  E  = -7.999944988973  CPU Time =  0.16
  1.46:  E  = -7.999949218368  CPU Time =  0.16
  1.47:  E  = -7.999953122600  CPU Time =  0.16
  1.48:  E  = -7.999956726667  CPU Time =  0.16
  1.49:  E  = -7.999960053646  CPU Time =  0.16
  1.50:  E  = -7.999963124839  CPU Time =  0.16
  1.51:  E  = -7.999965959912  CPU Time =  0.16
  1.52:  E  = -7.999968577018  CPU Time =  0.16
  1.53:  E  = -7.999970992914  CPU Time =  0.16
  1.54:  E  = -7.999973223070  CPU Time =  0.16
  1.55:  E  = -7.999975281765  CPU Time =  0.16
  1.56:  E  = -7.999977182183  CPU Time =  0.16
  1.57:  E  = -7.999978936490  CPU Time =  0.16
  1.58:  E  = -7.999980555922  CPU Time =  0.16
  1.59:  E  = -7.999982050847  CPU Time =  0.16
  1.60:  E  = -7.999983430838  CPU Time =  0.16
  1.61:  E  = -7.999984704731  CPU Time =  0.16
  1.62:  E  = -7.999985880683  CPU Time =  0.16
  1.63:  E  = -7.999986966224  CPU Time =  0.16
  1.64:  E  = -7.999987968305  CPU Time =  0.16
  1.65:  E  = -7.999988893343  CPU Time =  0.16
  1.66:  E  = -7.999989747261  CPU Time =  0.16
  1.67:  E  = -7.999990535528  CPU Time =  0.16
  1.68:  E  = -7.999991263189  CPU Time =  0.16
  1.69:  E  = -7.999991934906  CPU Time =  0.16
  1.70:  E  = -7.999992554979  CPU Time =  0.16
  1.71:  E  = -7.999993127378  CPU Time =  0.16
  1.72:  E  = -7.999993655769  CPU Time =  0.16
  1.73:  E  = -7.999994143536  CPU Time =  0.16
  1.74:  E  = -7.999994593802  CPU Time =  0.16
  1.75:  E  = -7.999995009450  CPU Time =  0.16
  1.76:  E  = -7.999995393141  CPU Time =  0.16
  1.77:  E  = -7.999995747333  CPU Time =  0.16
  1.78:  E  = -7.999996074293  CPU Time =  0.16
  1.79:  E  = -7.999996376116  CPU Time =  0.16
  1.80:  E  = -7.999996654733  CPU Time =  0.17
  1.81:  E  = -7.999996911929  CPU Time =  0.16
  1.82:  E  = -7.999997149351  CPU Time =  0.16
  1.83:  E  = -7.999997368519  CPU Time =  0.16
  1.84:  E  = -7.999997570837  CPU Time =  0.16
  1.85:  E  = -7.999997757600  CPU Time =  0.16
  1.86:  E  = -7.999997930004  CPU Time =  0.16
  1.87:  E  = -7.999998089152  CPU Time =  0.16
  1.88:  E  = -7.999998236065  CPU Time =  0.16
  1.89:  E  = -7.999998371683  CPU Time =  0.16
  1.90:  E  = -7.999998496874  CPU Time =  0.16
  1.91:  E  = -7.999998612440  CPU Time =  0.16
  1.92:  E  = -7.999998719120  CPU Time =  0.16
  1.93:  E  = -7.999998817599  CPU Time =  0.16
  1.94:  E  = -7.999998908506  CPU Time =  0.16
  1.95:  E  = -7.999998992424  CPU Time =  0.17
  1.96:  E  = -7.999999069890  CPU Time =  0.16
  1.97:  E  = -7.999999141401  CPU Time =  0.16
  1.98:  E  = -7.999999207413  CPU Time =  0.16
  1.99:  E  = -7.999999268350  CPU Time =  0.16
  2.00:  E  = -7.999999324602  CPU Time =  0.16
  2.01:  E  = -7.999999376529  CPU Time =  0.16
  2.02:  E  = -7.999999424464  CPU Time =  0.16
  2.03:  E  = -7.999999468713  CPU Time =  0.16
  2.04:  E  = -7.999999509560  CPU Time =  0.16
  2.05:  E  = -7.999999547267  CPU Time =  0.16
  2.06:  E  = -7.999999582075  CPU Time =  0.16
  2.07:  E  = -7.999999614206  CPU Time =  0.16
  2.08:  E  = -7.999999643868  CPU Time =  0.16
  2.09:  E  = -7.999999671248  CPU Time =  0.16
  2.10:  E  = -7.999999696524  CPU Time =  0.17
  2.11:  E  = -7.999999719856  CPU Time =  0.16
  2.12:  E  = -7.999999741395  CPU Time =  0.16
  2.13:  E  = -7.999999761277  CPU Time =  0.16
  2.14:  E  = -7.999999779631  CPU Time =  0.16
  2.15:  E  = -7.999999796574  CPU Time =  0.16
  2.16:  E  = -7.999999812214  CPU Time =  0.16
  2.17:  E  = -7.999999826652  CPU Time =  0.16
  2.18:  E  = -7.999999839979  CPU Time =  0.16
  2.19:  E  = -7.999999852282  CPU Time =  0.16
  2.20:  E  = -7.999999863639  CPU Time =  0.16
  2.21:  E  = -7.999999874123  CPU Time =  0.16
